title,company,price,year,km_driven,fuel_type,transmission,city,link
Maruti Suzuki Wagon R 1.0 (2017),Maruti Suzuki,366000.0,2017,32000.0,Petrol,Automatic,"Vashi, Navi Mumbai",https://www.olx.in/item/cars-c84-used-maruti-suzuki-wagon-r-1-0-in-vashi-navi-mumbai-iid-1845994311
Honda Amaze (2013),Honda,335000.0,2013,83000.0,Petrol,Manual,"GMS Road, Dehradun",https://www.olx.in/item/cars-c84-used-honda-amaze-in-gms-road-dehradun-iid-1841576284
Land Rover Range Rover Sport (2017),Land Rover,6500000.0,2017,87787.0,Petrol,Automatic,"Gachibowli, Hyderabad",https://www.olx.in/item/cars-c84-used-land-rover-range-rover-sport-in-gachibowli-hyderabad-iid-1836805163
Tata Nexon (2022),Tata,843576.0,2022,69000.0,Petrol,Automatic,"Malviya Nagar, Jaipur",https://www.olx.in/item/cars-c84-used-tata-nexon-in-malviya-nagar-jaipur-iid-1831309547
Mercedes-Benz Gla (2019),Mercedes,2750000.0,2019,41000.0,Petrol,Automatic,"Rajouri Garden, Delhi",https://www.olx.in/item/cars-c84-used-mercedes-benz-gla-in-rajouri-garden-delhi-iid-1847187921
Maruti Suzuki Baleno (2023),Maruti Suzuki,719000.0,2023,53000.0,Petrol,Automatic,Vivek Vihar Phase,https://www.olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-vivek-vihar-phase-2-delhi-iid-1841363780
Mg Windsor Ev (2024),MG,1774999.0,2024,29000.0,Electric,Automatic,"Kalyan, Thane",https://www.olx.in/item/cars-c84-used-mg-windsor-ev-in-kalyan-thane-iid-1843247815
Maruti Suzuki Swift (2021),Maruti Suzuki,495000.0,2021,47000.0,Petrol,Manual,"Jangpura, Delhi",https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-in-jangpura-delhi-iid-1845597882
Mahindra Scorpio (2013),Mahindra,485000.0,2013,125900.0,Diesel,Manual,"Avinashi, Coimbatore",https://www.olx.in/item/cars-c84-used-mahindra-scorpio-in-avinashi-coimbatore-iid-1846797340
Hyundai Creta (2018),Hyundai,1050000.0,2018,65000.0,Petrol,Automatic,"SG Highway, Ahmedabad",https://www.olx.in/item/cars-c84-used-hyundai-creta-in-sg-highway-ahmedabad-iid-1768684179
Nissan Micra Active (2018),Nissan,340000.0,2018,62000.0,Petrol,Manual,"Gandhipuram, Coimbatore",https://www.olx.in/item/cars-c84-used-nissan-micra-active-in-gandhipuram-coimbatore-iid-1830594845
Maruti Suzuki Ertiga (2022),Maruti Suzuki,1050000.0,2022,40000.0,Petrol,Automatic,"Ernakulam HPO, Kochi",https://www.olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-ernakulam-hpo-kochi-iid-1804094594
Audi Q5 (2017),Audi,2165000.0,2017,110369.0,Diesel,Automatic,"Baner, Pune",https://www.olx.in/item/cars-c84-used-audi-q5-in-baner-pune-iid-1836331944
Hyundai Xcent (2019),Hyundai,450000.0,2019,40000.0,Petrol,Manual,"Sarona, Raipur",https://www.olx.in/item/cars-c84-used-hyundai-xcent-in-sarona-raipur-iid-1845894903
Volkswagen T-Roc (2021),Volkswagen,1499000.0,2021,80000.0,Petrol,Automatic,"Thousand Lights, Chennai",https://www.olx.in/item/cars-c84-used-volkswagen-t-roc-in-thousand-lights-chennai-iid-1842260684
Jeep Compass (2018),Jeep,499999.0,2018,125000.0,Diesel,Automatic,Sector,https://www.olx.in/item/cars-c84-used-jeep-compass-in-sector-20-sirsa-iid-1845893976
Hyundai Creta (2019),Hyundai,1099000.0,2019,63000.0,Petrol,Automatic,"Sabarkunj Society, Himmatnagar",https://www.olx.in/item/cars-c84-used-hyundai-creta-in-sabarkunj-society-himmatnagar-iid-1761426937
Mahindra Xuv 3xo (2024),Mahindra,1190000.0,2024,24000.0,Petrol,Automatic,"New Maninagar, Ahmedabad",https://www.olx.in/item/cars-c84-used-mahindra-xuv-3xo-in-new-maninagar-ahmedabad-iid-1844428778
Toyota Innova Crysta (2017),Toyota,2100000.0,2017,29000.0,Diesel,Automatic,"Uttarahalli Main Road, Bengaluru",https://www.olx.in/item/cars-c84-used-toyota-innova-crysta-in-uttarahalli-main-road-bengaluru-iid-1840614712
Jaguar Xj (2016),Jaguar,4275000.0,2016,27000.0,Diesel,Automatic,"Jayanagar, Bengaluru",https://www.olx.in/item/cars-c84-used-jaguar-xj-in-jayanagar-bengaluru-iid-1845597075
Volkswagen T-Roc (2021),Volkswagen,1499000.0,2021,80000.0,Petrol,Automatic,"Thousand Lights, Chennai",https://www.olx.in/item/cars-c84-used-volkswagen-t-roc-in-thousand-lights-chennai-iid-1842260684
Hyundai I20 (2020),Hyundai,625000.0,2020,60658.0,Petrol,Automatic,"PSG Estate Colony, Coimbatore",https://www.olx.in/item/cars-c84-used-hyundai-i20-in-psg-estate-colony-coimbatore-iid-1847297746
Mahindra Xuv700 (2024),Mahindra,2499993.0,2024,8795.0,Petrol,Automatic,"Navin Sheva, Navi Mumbai",https://www.olx.in/item/cars-c84-used-mahindra-xuv700-in-navin-sheva-navi-mumbai-iid-1847318644
Toyota Innova Crysta (2021),Toyota,1850000.0,2021,151000.0,Diesel,Automatic,"Madri Ka Math, Udaipur",https://www.olx.in/item/cars-c84-used-toyota-innova-crysta-in-madri-ka-math-udaipur-iid-1832599840
Skoda Octavia (2022),Skoda,1871903.0,2022,36917.0,Petrol,Automatic,"Semra, Lucknow",https://www.olx.in/item/cars-c84-used-skoda-octavia-in-semra-lucknow-iid-1847052699
Hyundai Grand I10 Nios (2026),Hyundai,666000.0,2026,217.0,Petrol,Automatic,"Boduppal, Hyderabad",https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-nios-in-boduppal-hyderabad-iid-1847378706
Ford Endeavour (2014),Ford,750000.0,2014,81000.0,Diesel,Manual,"Chowk, Lucknow",https://www.olx.in/item/cars-c84-used-ford-endeavour-in-chowk-lucknow-iid-1838761250
Maruti Suzuki Swift (2017),Maruti Suzuki,305000.0,2017,30486.0,Petrol,Manual,Rohini Sector,https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-in-rohini-sector-10-delhi-iid-1846085685
Mercedes-Benz E-Class (2021),Mercedes,3500000.0,2021,53000.0,Petrol,Automatic,"Paschim Vihar, Delhi",https://www.olx.in/item/cars-c84-used-mercedes-benz-e-class-in-paschim-vihar-delhi-iid-1843933417
Hyundai Eon (2014),Hyundai,149000.0,2014,38587.0,Petrol,Manual,Rohini Sector,https://www.olx.in/item/cars-c84-used-hyundai-eon-in-rohini-sector-10-delhi-iid-1846636461
Hyundai Elite I20 (2015),Hyundai,568400.0,2015,89000.0,Petrol,Automatic,"Pratap Nagar, Jaipur",https://www.olx.in/item/cars-c84-used-hyundai-elite-i20-in-pratap-nagar-jaipur-iid-1847385843
Hyundai Venue (2020),Hyundai,573300.0,2020,75807.0,Petrol,Manual,Sector,https://www.olx.in/item/cars-c84-used-hyundai-venue-in-sector-17e-chandigarh-iid-1846812650
Hyundai Elite I20 (2016),Hyundai,315000.0,2016,47172.0,Petrol,Manual,"Connaught Place, Delhi",https://www.olx.in/item/cars-c84-used-hyundai-elite-i20-in-connaught-place-delhi-iid-1846940580
Mahindra Xuv500 (2014),Mahindra,650000.0,2014,240000.0,Diesel,Manual,"Vadakkencherry, Palakkad",https://www.olx.in/item/cars-c84-used-mahindra-xuv500-in-vadakkencherry-palakkad-iid-1847384217
Maruti Suzuki S Cross (2022),Maruti Suzuki,625000.0,2022,31321.0,Petrol,Manual,Sector,https://www.olx.in/item/cars-c84-used-maruti-suzuki-s-cross1-in-sector-11-faridabad-iid-1847385943
Volkswagen Virtus (2025),Volkswagen,1425000.0,2025,9100.0,Petrol,Automatic,"Bopal, Ahmedabad",https://www.olx.in/item/cars-c84-used-volkswagen-virtus-in-bopal-ahmedabad-iid-1847381679
Honda City (2021),Honda,650000.0,2021,52113.0,Petrol,Automatic,"Frontier Colony, Faridabad",https://www.olx.in/item/cars-c84-used-honda-city-in-frontier-colony-faridabad-iid-1846648410
Kia Seltos (2019),Kia,1045000.0,2019,54000.0,Petrol,Manual,"Mankavu, Kozhikode",https://www.olx.in/item/cars-c84-used-kia-seltos-in-mankavu-kozhikode-iid-1847385988
Maruti Suzuki Ertiga (2019),Maruti Suzuki,644808.0,2019,105566.0,Petrol,Manual,"Ramgarh Dhani, Gurgaon",https://www.olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-ramgarh-dhani-gurgaon-iid-1847259758
Hyundai Grand I10 (2015),Hyundai,241931.0,2015,63000.0,Petrol,Automatic,"Borivali West, Mumbai",https://www.olx.in/item/cars-c84-used-hyundai-grand-i10-in-borivali-west-mumbai-iid-1847385913
